Month,max_temp,min_temp,daily_rain,sunshine_hours,humidity
 2003 Oct ,31.1,24.5,56.6,5.1,84.9
 2003 Nov ,31,24.7,41.3,4.2,87.3
 2003 Dec ,29.9,24.3,92.1,3.9,87.2
 2004 Jan ,30.6,24.2,177.8,6.7,86.7
 2004 Feb ,32,24.7,19.2,7.7,80.5
 2004 Mar ,32.2,24.7,122.8,4.8,85.8
 2004 Apr ,33.3,26.1,18.1,7,82.3
 2004 May ,32.8,26.4,73.4,6,82.1
 2004 Jun ,32.4,26.1,68.1,6.4,79.8
 2004 Jul ,30.8,24.5,34.3,4.2,85.3
 2004 Aug ,31.7,25.4,111.5,7.3,80.3
 2004 Sep ,31.7,25,29.1,5.9,83.6
 2004 Oct ,31.6,25,25.3,5.1,83.9
 2004 Nov ,31.4,24.6,62.4,5.8,86.1
 2004 Dec ,30.1,24.5,36.4,4.9,85.2
 2005 Jan ,30.2,23.9,96.7,6.5,83.3
 2005 Feb ,33.4,25.3,7.2,9.1,77.7
 2005 Mar ,33.3,25.4,20.5,7.2,80.3
 2005 Apr ,33,25.7,49.6,7,81
 2005 May ,32.4,25.2,58.7,5.5,84.6
 2005 Jun ,32,26.1,27.6,5.4,82.7
 2005 Jul ,31.4,25.2,26.3,5.4,84
 2005 Aug ,31.5,25.5,13.8,6.5,82.9
 2005 Sep ,32,25.2,43.4,6.2,84.2
 2005 Oct ,31.3,24.7,76.2,5.1,85.2
 2005 Nov ,30.8,24.4,133.8,4.4,86.4
 2005 Dec ,31,24.6,47.3,4.5,85.6
 2006 Jan ,30,24.1,131.7,4.8,87.8
 2006 Feb ,31.5,24.8,44.5,7.4,84
 2006 Mar ,33.1,25.2,35.7,7.1,81.3
 2006 Apr ,32.1,24.8,43.3,5.3,87
 2006 May ,32,25.4,36.6,5,85.2
 2006 Jun ,31,25.1,37.3,5.5,86.3
 2006 Jul ,31.5,25.7,54.8,6.9,83.8
 2006 Aug ,31.5,25.5,30.4,6.7,81.9
 2006 Sep ,31.4,25.4,32.2,5.3,81
 2006 Oct ,32.2,25.4,37.8,4.8,80.9
 2006 Nov ,31.4,24.5,64,5.6,87.4
 2006 Dec ,30,24.3,198,3.2,88.5
 2007 Jan ,29.8,24.2,143.8,4.1,86.8
 2007 Feb ,31.5,24.5,51.4,7.6,82.5
 2007 Mar ,31.5,24.6,68.8,5.8,84.9
 2007 Apr ,32,25.2,102.4,5.9,84.7
 2007 May ,31.6,25.3,21.9,5.5,84.8
 2007 Jun ,32.1,25.4,38,6,82.8
 2007 Jul ,30.6,25.1,23,3.9,84.8
